Electrode,No-load mean,No-load std,Assembly mean,Assembly std,Global mean,Rank
E0,0.861,0.118,0.871,0.061,0.866,2
E1,0.777,0.189,0.667,0.132,0.722,4
E2,0.175,0.061,0.035,0.025,0.105,15
E3,0.090,0.066,0.257,0.096,0.174,12
E4,0.188,0.117,0.355,0.135,0.272,10
E5,0.263,0.075,0.047,0.023,0.155,13
E6,0.804,0.205,0.533,0.092,0.668,5
E7,0.593,0.190,0.354,0.069,0.474,7
E8,0.865,0.116,0.986,0.032,0.925,1
E9,0.744,0.259,0.522,0.069,0.633,6
E10,0.243,0.091,0.066,0.071,0.155,14
E11,0.023,0.021,0.057,0.019,0.040,16
E12,0.240,0.140,0.395,0.137,0.318,9
E13,0.348,0.093,0.071,0.049,0.209,11
E14,0.509,0.230,0.415,0.072,0.462,8
E15,0.883,0.082,0.715,0.147,0.799,3
