electrode,no_load_mean,no_load_std,assembly_mean,assembly_std,global_mean,rank,dataset_1,dataset_2,dataset_3,dataset_4,dataset_5,dataset_6,dataset_7,dataset_8,dataset_9,dataset_10,dataset_11,dataset_12
E0,0.8607333333333332,0.118415168885672,0.8708833333333333,0.060813962669403115,0.8658083333333333,2,0.8358,0.6914,0.7277,1.0,0.949,0.9605,0.9859,0.8404,0.8679,0.8458,0.7888,0.8965
E1,0.7770166666666666,0.18940125322241724,0.6669833333333334,0.13231874919635875,0.722,4,0.401,0.8822,0.9194,0.8674,0.9257,0.6664,0.7796,0.5783,0.7858,0.5897,0.4578,0.8107
E2,0.17531666666666665,0.06089180067044239,0.03451666666666667,0.025487213569858034,0.10491666666666666,15,0.1116,0.1209,0.123,0.1921,0.2663,0.238,0.0532,0.0121,0.0082,0.0359,0.0177,0.08
E3,0.0903,0.06582952731614186,0.2571,0.0957829664745599,0.1737,12,0.0232,0.203,0.1058,0.1003,0.0003,0.1092,0.3095,0.1897,0.2181,0.2459,0.1414,0.438
E4,0.1879666666666667,0.11728356899223163,0.35535,0.13461297300037614,0.27165833333333333,10,0.037,0.3725,0.157,0.1632,0.3083,0.0898,0.4544,0.2066,0.2898,0.4355,0.192,0.5538
E5,0.26308333333333334,0.07465758315283333,0.047466666666666664,0.0227677159348251,0.155275,13,0.3789,0.1691,0.2017,0.3441,0.2408,0.2439,0.0403,0.0035,0.053,0.0705,0.0463,0.0712
E6,0.8035666666666667,0.2050514948873954,0.53275,0.09155032768920054,0.6681583333333333,5,0.4319,1.0,0.9606,0.8506,0.9445,0.6338,0.5698,0.5068,0.4611,0.5148,0.4311,0.7129
E7,0.5934833333333334,0.1903556707557957,0.3541833333333333,0.06886465994172111,0.47383333333333333,7,0.7677,0.4498,0.395,0.4954,0.929,0.524,0.4727,0.3061,0.2805,0.2967,0.4121,0.357
E8,0.8648333333333333,0.11629191239673072,0.9856166666666667,0.03216211107637199,0.9252250000000001,1,1.0,0.8755,0.709,0.8809,1.0,0.7236,0.9137,1.0,1.0,1.0,1.0,1.0
E9,0.7436333333333334,0.25938286159437923,0.5220333333333333,0.06946648272528427,0.6328333333333334,6,0.2516,0.6401,1.0,0.9592,0.93,0.6809,0.5266,0.4591,0.4426,0.5017,0.5475,0.6547
E10,0.24323333333333333,0.09083860535159168,0.06635,0.0706393598970621,0.1547916666666667,14,0.2792,0.1303,0.1854,0.2695,0.4105,0.1845,0.0093,0.0139,0.0437,0.0519,0.0607,0.2186
E11,0.023366666666666664,0.020857585883531413,0.05741666666666667,0.018884333601044957,0.040391666666666666,16,0.0057,-0.0069,0.0169,0.0535,0.0438,0.0272,0.0956,0.0393,0.0554,0.0632,0.0495,0.0415
E12,0.24026666666666666,0.1395933936673063,0.39475,0.13728695920103506,0.31750833333333334,9,0.0579,0.5084,0.2261,0.2063,0.2911,0.1518,0.5693,0.2692,0.3513,0.3959,0.2112,0.5716
E13,0.3477166666666666,0.09272641509060701,0.07081666666666667,0.04863172547033698,0.20926666666666663,11,0.3523,0.3395,0.2671,0.3611,0.5286,0.2377,0.0508,0.0297,0.0537,0.0738,0.0415,0.1754
E14,0.5085333333333333,0.22989846792781277,0.4148833333333333,0.07197644097588847,0.4617083333333334,8,0.0818,0.4362,0.4795,0.5757,0.8344,0.6436,0.5361,0.4035,0.4485,0.3951,0.2935,0.4126
E15,0.8830666666666667,0.08157253759010376,0.7152666666666666,0.1474553793148588,0.7991666666666667,3,0.9569,0.8934,0.7484,0.8366,0.8631,1.0,1.0,0.6337,0.6299,0.6921,0.5446,0.7913
