method,mean,worst,sub_degree_datasets
ridge_sequential,12.291504431023315,48.48938581946348,0
es_sequential,12.127135687127561,48.27013157660478,0
es_block_shuffled,17.486854001790352,48.27451555369589,0
kalman_sequential,12.050948754843013,48.489384098244095,0
kalman_block_shuffled,16.508775956793,48.4894006446758,0
rf_sequential,5.79958887557747,20.248831772612323,0
mlp_sequential,4.541386705200894,13.171257201261065,0
tcn_sequential,4.048887511094411,17.033498764038086,2
tcn_block_shuffled,18.09512287378311,26.442702770233154,0
gru_sequential,4.8495030750830965,16.108901977539062,1
gru_block_shuffled,18.958021913965542,31.142037391662598,0
transformer_sequential,4.776285231113434,17.422672271728516,1
transformer_block_shuffled,13.161756947636604,24.15234136581421,0
kalmannet_sequential,5.84364177021202,14.974241876625705,0
kalmannet_block_shuffled,22.898041620589478,124.31593015590488,0
calib_ridge_sequential,2.5851636501553164,4.313064356237891,2
calib_kalman_sequential,2.4787210074235246,4.31077424719918,2
calib_kalman_block_shuffled,10.144375433975476,19.886314236497036,0
calib_es_sequential,2.6474606048893423,4.315981133690797,2
calib_es_block_shuffled,10.250959055470942,16.787518259710303,0
rawknn_sequential,1.318261788723364,2.3930681982582866,5
ours,0.40093398094177246,0.7409436106681824,12
