No.,1,2,3,4,5,6,7,8,9,10,11,12,Mean
Scan segments / step (°),31/0.96,125/0.96,11/0.97,16/0.10,13/0.10,6/0.10,99/1.67,18/1.48,50/1.67,70/1.61,40/1.95,11/0.13,—
Linear,9.8,14.9,6.2,17.8,48.5,5.8,9.3,3.5,6.8,6.9,11.1,6.8,12.29
Exponential Smoothing,9.9/15.9,14.9/18.0,6.2/15.1,17.8/17.8,48.3/48.3,5.8/5.9,9.4/17.9,3.8/12.3,6.8/15.4,6.8/13.4,11.4/23.4,4.6/6.6,12.13/17.49
Kalman Filter,8.4/22.2,14.9/16.3,6.2/11.2,17.8/17.8,48.5/48.5,5.8/5.9,8.5/23.9,3.5/8.8,6.8/11.4,6.9/10.5,11.2/14.8,6.0/6.9,12.05/16.51
Random Forest,5.0,5.1,5.1,20.2,2.6,1.5,4.1,3.4,1.8,2.0,5.2,13.8,5.80
Frame-wise MLP,3.2,4.3,3.4,13.2,5.8,2.5,4.3,2.2,1.3,1.3,4.1,9.0,4.54
TCN,2.2/22.0,3.7/22.7,2.3/23.8,9.9/10.3,3.4/4.4,1.9/3.5,2.0/22.8,2.1/19.6,0.9/21.5,0.9/22.9,2.3/26.4,17.0/17.3,4.05/18.10
GRU,2.7/23.7,4.0/21.7,2.8/23.1,16.1/16.2,3.4/4.4,1.4/3.1,3.2/22.4,2.4/22.0,1.3/22.6,1.0/21.2,4.2/31.1,15.7/16.0,4.85/18.96
Transformer,3.9/16.3,2.4/21.4,3.0/24.2,17.4/17.6,1.7/3.3,2.3/3.8,3.8/10.6,1.4/10.8,1.2/9.0,0.8/9.2,2.9/15.2,16.5/16.5,4.78/13.16
KalmanNet,3.2/22.8,5.0/15.6,3.3/4.8,12.9/13.0,15.0/11.4,3.0/3.7,2.8/124.3,2.4/3.4,10.0/26.4,2.0/2.5,3.9/39.5,6.8/7.2,5.84/22.90
Calibrated Ridge,2.0,2.8,2.6,0.7,4.3,2.5,3.7,2.4,4.1,2.3,2.9,0.7,2.59
Calib. Ridge + Kalman,2.0/10.8,2.8/8.3,2.6/19.1,0.7/1.7,4.3/4.7,2.5/3.8,3.7/10.3,2.4/8.9,3.6/19.8,1.8/19.9,2.9/11.5,0.6/3.0,2.48/10.14
Calib. Ridge + ES,1.9/12.1,3.0/11.7,2.7/13.0,0.7/1.6,4.3/4.4,2.5/3.2,3.7/14.8,2.8/13.0,4.3/15.6,2.7/14.5,2.5/16.8,0.6/2.1,2.65/10.25
Soft-kNN (w/o learning),1.3,1.2,0.9,0.5,2.1,2.4,2.2,0.7,0.9,0.7,1.5,1.4,1.32
Ours,0.395,0.741,0.180,0.250,0.655,0.355,0.325,0.550,0.365,0.129,0.304,0.561,0.401
