No.,Electrode pair,Linear ↑,Linear ↓,Cubic ↑,Cubic ↓,Single-channel hysteresis,Ours ↑,Ours ↓,Ours hysteresis
1,4–13,3.58,5.36,2.03,0.81,3.37,0.442,0.347,0.582
2,4–13,6.15,6.77,1.54,1.96,3.27,0.732,0.750,1.013
3,5–12,4.45,7.13,2.23,1.00,3.28,0.197,0.159,0.233
4,5–12,1.68,2.10,1.04,0.53,2.23,0.281,0.220,0.298
5,5–12,6.50,7.51,4.70,4.20,3.01,0.761,0.535,0.750
6,5–12,6.94,7.34,3.68,1.37,2.79,0.481,0.230,0.525
7,5–12,4.85,6.64,3.59,3.46,3.76,0.221,0.430,0.364
8,4–13,2.38,3.18,1.26,1.13,3.83,0.455,0.646,0.430
9,5–12,4.87,6.59,1.27,1.56,4.84,0.530,0.201,0.661
10,4–13,4.16,6.67,2.03,2.09,5.09,0.142,0.116,0.192
11,5–12,10.00,10.50,3.31,2.07,5.17,0.335,0.273,0.523
12,4–13,3.84,3.96,2.03,1.62,3.86,0.617,0.482,0.708
Mean,—,4.95,6.15,2.39,1.82,3.71,0.433,0.366,0.523
