no,electrode_pair,channel,lin_up,lin_dn,cub_up,cub_dn,sc_hyst,ours_up,ours_dn,ours_hyst
1,4–13,50,3.5848441117014733,5.359890268729856,2.0313357660712783,0.8139801812267787,3.36590936290628,0.4421535918657418,0.34733548038445544,0.58157906178356
2,4–13,50,6.152432501614546,6.769844709012512,1.5372223593515786,1.958968081865158,3.2720198898628334,0.7317060839661851,0.7502334299552843,1.0129725392871853
3,5–12,60,4.445497074007284,7.130807090676662,2.227403412180971,0.9977204082739719,3.284567887646311,0.19669852701175694,0.1593279949247592,0.23323641062444198
4,5–12,60,1.6822404012129002,2.1046929593711323,1.0446810241081854,0.5344972414203157,2.2256286604971063,0.2807714664116093,0.21997284982469784,0.2975841447384406
5,5–12,60,6.504692496912306,7.512723093362183,4.702097234147379,4.200037425021916,3.014204143644112,0.7605101761001444,0.535313630255753,0.7501431175643972
6,5–12,60,6.938275541639583,7.338819000033121,3.6815329337199145,1.374221482065933,2.7892704171023848,0.4810786858086212,0.22989613600648842,0.5245242522706874
7,5–12,60,4.852139678184142,6.642480991543062,3.594670275078471,3.4637563467733194,3.763973803913992,0.2205937539257706,0.43022030658886107,0.3644745328596551
8,4–13,50,2.3844437493027053,3.1772201254695807,1.2615149935061247,1.1290608328447178,3.8306856371001143,0.45490860776615405,0.6462931346403409,0.4302737973873336
9,5–12,60,4.866059325482779,6.587019176206717,1.2740072601412171,1.5607659263957028,4.839342032214568,0.5299235767089441,0.2008290759241972,0.6611667229162197
10,4–13,50,4.157021522447887,6.671736662370609,2.032819640500817,2.090476176838258,5.090888775114695,0.14229076164342014,0.11646008778546678,0.1920387157774067
11,5–12,60,9.999629351361905,10.496844853121866,3.310627632643616,2.073423467652944,5.171602593037655,0.3350776941351924,0.27278623045084066,0.522502524455329
12,4–13,50,3.8396959966569977,3.9599344241246763,2.0299547199514953,1.6237407947476372,3.8555104580170245,0.617126336188927,0.4821761181985404,0.707638227630962
mean,,,4.950580979210376,6.146001112835165,2.393988937616754,1.8183873637605543,3.7086336384214227,0.43273660512770556,0.36590370624497376,0.5231778372746348
